"zip","city","state","latitude","longitude","timezone","dst"
"00803","St Thomas","VI","18.322285","-64.963715","-4","0"
"00804","St Thomas","VI","18.322285","-64.963715","-4","0"
"00805","St Thomas","VI","18.322285","-64.963715","-4","0"
"00820","Christiansted","VI","17.734211","-64.734694","-4","0"
"00821","Christiansted","VI","17.734211","-64.734694","-4","0"
"00822","Christiansted","VI","17.734211","-64.734694","-4","0"
"00823","Christiansted","VI","17.734211","-64.734694","-4","0"
"00824","Christiansted","VI","17.734211","-64.734694","-4","0"
"00830","St John","VI","18.32816","-64.740737","-4","0"
"00831","St John","VI","18.32816","-64.740737","-4","0"
"00840","Frederiksted","VI","17.734211","-64.734694","-4","0"
"00841","Frederiksted","VI","17.734211","-64.734694","-4","0"
"00850","Kingshill","VI","17.734211","-64.734694","-4","0"
"00851","Kingshill","VI","17.734211","-64.734694","-4","0"
"00901","San Juan","PR","18.465426","-66.10786","-4","0"
"00902","San Juan","PR","18.410462","-66.060533","-4","0"
"00906","San Juan","PR","18.46454","-66.10079","-4","0"
"00907","San Juan","PR","18.451131","-66.07798","-4","0"
"00908","San Juan","PR","18.410462","-66.060533","-4","0"
"00909","San Juan","PR","18.442282","-66.06764","-4","0"
"00910","San Juan","PR","18.410462","-66.060533","-4","0"
"00911","San Juan","PR","18.45009","-66.0577","-4","0"
"00912","San Juan","PR","18.445946","-66.05928","-4","0"
"00913","San Juan","PR","18.450907","-66.04256","-4","0"
"00914","San Juan","PR","18.410462","-66.060533","-4","0"
"00915","San Juan","PR","18.436995","-66.04888","-4","0"
"00916","San Juan","PR","18.410462","-66.060533","-4","0"
"00917","San Juan","PR","18.422263","-66.0513","-4","0"
"00918","San Juan","PR","18.417668","-66.06494","-4","0"
"00919","San Juan","PR","18.410462","-66.060533","-4","0"
"00920","San Juan","PR","18.41242","-66.09069","-4","0"
"00921","San Juan","PR","18.394019","-66.08633","-4","0"
"00922","San Juan","PR","18.410462","-66.060533","-4","0"
"00923","San Juan","PR","18.410681","-66.03806","-4","0"
"00924","San Juan","PR","18.401917","-66.01194","-4","0"
"00925","San Juan","PR","18.400006","-66.05028","-4","0"
"00926","San Juan","PR","18.361363","-66.0562","-4","0"
"00927","San Juan","PR","18.39184","-66.06867","-4","0"
"00928","San Juan","PR","18.410462","-66.060533","-4","0"
"00929","San Juan","PR","18.410462","-66.060533","-4","0"
"00930","San Juan","PR","18.410462","-66.060533","-4","0"
"00931","San Juan","PR","18.410462","-66.060533","-4","0"
"00933","San Juan","PR","18.410462","-66.060533","-4","0"
"00934","Fort Buchanan","PR","18.413511","-66.12198","-4","0"
"00935","San Juan","PR","18.410462","-66.060533","-4","0"
"00936","San Juan","PR","18.410462","-66.060533","-4","0"
"00937","San Juan","PR","18.410462","-66.060533","-4","0"
"00938","San Juan","PR","18.410462","-66.060533","-4","0"
"00939","San Juan","PR","18.410462","-66.060533","-4","0"
"00940","San Juan","PR","18.410462","-66.060533","-4","0"
"00949","Toa Baja","PR","18.433173","-66.2042","-4","0"
"00950","Toa Baja","PR","18.457761","-66.196503","-4","0"
"00951","Toa Baja","PR","18.457761","-66.196503","-4","0"
